zip,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
94112,2838.688783396864,2878.470558339937,3069.4756489238,3075.545019379957,3122.9077932407304,3068.22843141773,2995.6159273242133,2974.0940048872294,3030.1387806028265,2991.618083292038,3044.935463453027,3016.26895823969,2935.9712048154065,3022.932373325602,3045.8649691803785,3367.4927352830405,3318.4583222807987,3314.858552951545,3213.3035653791612,3162.346382882976,3078.946739680288,3001.2271466403654,2967.553854344193,3015.673010902583,3055.1722403183467,3039.702558231853,2987.014909901765,2919.1834240255403,2946.8696091166635,2965.8332836588093,3091.5623648602773,3060.960172385792,3137.7067103539853,3090.2058782666804,3115.5127579280343,3093.6790297661382,3103.355760851753,3176.070617671776,3224.5049396994054,3288.9170535501203,3306.64168985766,3363.0331750938,3318.237905662872,3346.215157521441,3284.372110244241,3364.5106759345304,3194.386005109147,3194.332610731453,3185.506743790256,3352.3478874071748,3413.5308003006216,3408.1368662869936,3392.8564480898112,3348.6655058190845,3348.33928307697,3420.3090985569825,3423.017745219488,3437.931908840437,3339.1119946173694,3440.9651834805163
94110,3513.0725979074527,3539.533158594168,3567.9532250519906,3565.4950756573394,3509.140744265843,3541.573754813936,3573.232693834254,3612.405733639741,3609.335417984551,3575.406581387386,3589.931031203046,3603.6827111793223,3646.8946343439247,3654.4900578798142,3648.9049158605458,3633.025492389603,3587.736932905738,3542.5588368949707,3475.628677511954,3385.2626057495186,3283.175732820007,3174.6810764385405,3102.180133817581,3080.3201982791606,3071.0065400270437,3090.1082364616937,3098.609317101975,3151.966239944746,3152.1763205449197,3203.279771060883,3238.814282904303,3290.3212108923985,3303.4317698238924,3280.508817013357,3283.6685533469454,3291.6770499972013,3308.8269223824996,3327.322096307716,3328.4406780938066,3349.768754340093,3369.457918122256,3410.0956228476616,3437.315415223907,3477.2416582195024,3500.2140519638833,3528.6932536857375,3495.833664992562,3453.364785414185,3398.8057991934234,3401.260368150407,3415.506748876673,3438.284808663427,3446.9017115499996,3462.705558271132,3482.013876708408,3500.8012373166493,3490.256886707799,3454.012111866326,3404.805107233018,3401.917313569024
94122,2735.9140871684467,2772.357760443735,2840.9777954365177,2832.289475293612,2867.941192352595,2881.0882932823233,2913.3158834460673,2955.942245041038,2962.4299611480938,2935.9541115592033,2954.37169601088,2972.6686545295606,3007.119372606538,2945.9842699127676,2909.8663676817205,2961.4234551792006,2974.9130666391125,2974.999606296336,2872.4638279252868,2832.8595443321133,2795.729030923064,2750.552054056057,2694.768197671316,2660.733259280884,2680.0437691623115,2676.406384850323,2697.5861234602617,2712.609384959072,2767.657017192329,2778.489404962376,2791.426328687531,2807.372931002522,2850.7046629029087,2862.037741418824,2845.7163087305566,2823.14852073969,2847.3245031616884,2872.682576524464,2907.82069750716,2931.4330920018665,2919.1224572959077,2939.3050945417176,2932.082380909873,2964.3336410002853,2985.669003557394,3004.772555693146,3023.3486907801657,2991.5831396602803,2986.641943834685,2990.800414241544,3006.8034576463483,3019.650285509289,3025.3363515769565,3027.0950516948005,3028.149805738032,3034.639834486072,3057.8547527885457,3035.6612072675903,3004.509252414959,3017.565313847111
94109,2779.847958142461,2784.4900109457612,2793.3492001511536,2771.5756598906037,2795.365011060382,2819.145447793653,2870.330667453006,2880.336721062863,2874.8407056167807,2840.473309964316,2805.9827572660665,2797.7750187703177,2809.7140946089753,2827.5301047315893,2798.51186558176,2761.25593369193,2723.220071866221,2698.786640180951,2662.0241911788557,2577.6586540087096,2482.6849962339215,2405.2385702490706,2362.7162226729247,2343.850314324351,2312.7410057888123,2289.1475757557673,2277.080214597562,2310.751603768961,2357.4091872146123,2435.73807988608,2474.956413589463,2518.5019712933845,2507.9476306543156,2511.835934053683,2514.799037641257,2509.5735203488875,2513.452478122076,2525.216812931127,2553.0845897159456,2562.952331022524,2581.257864237294,2584.8043128131435,2613.7640951567123,2629.67819284731,2653.579885170447,2675.511654012527,2665.7670298649587,2639.4490654739197,2608.1462534070547,2605.876537346932,2608.725966138126,2601.608050659868,2594.87983822566,2607.5326530484663,2612.1818071850935,2612.7020482568446,2610.68106974605,2604.65832402355,2591.265632492929,2555.8178026165765
94116,,,,2650.0312429766936,,2616.1081487118013,2626.9813555550018,2688.6897098821178,2670.752611761091,2647.709622811255,2605.859057336947,2594.528423725854,2608.8470992843645,2604.343579380076,2606.047149889904,2596.07084526356,2600.762138517794,2612.405826421045,2604.068658529254,2629.4995028208573,2565.3630936545346,2523.8458640807235,2461.594015095475,2377.8556935503407,2395.758226580841,2429.306324793739,2533.772804989137,2564.343802294717,2569.2730934624287,2557.428931150207,2596.4208024391487,2619.3413762145974,2660.483945252951,2635.7686005412597,2587.090021363954,2608.8847701240534,2632.740212370445,2688.6934686601926,2695.595826700381,2733.785056014628,2754.0283610962706,2781.996935443944,2715.188136275091,2728.081011736426,2710.705881274767,2767.6327612529913,2743.4146980764604,2791.4616959702844,2780.86973236982,2849.595210836416,2827.639579869633,2806.2478454284146,2773.1683759643247,2778.117304277453,2820.345959992911,2862.447740395764,2845.4827866455744,2823.212730204234,2808.8156876115713,2831.4549120179445
94117,3325.9976950214077,3356.619108523239,3361.0780971363906,3354.1100433358006,3360.71515712017,3370.379266808737,3384.5073319918297,3402.853917086353,3410.719401976418,3370.428259634825,3333.491572531859,3350.9644890253608,3366.4984349934166,3399.6496901974656,3364.9885324236134,3356.238458339037,3319.1573611722915,3306.833570272293,3257.474711323812,3171.272887425733,3094.6264343056496,3019.7031538010942,2979.764940639893,2944.0350226587693,2945.31920537097,2945.140514413314,2933.125841606674,2957.0555955202776,2983.6077450464686,3027.6722712347246,3055.2195346115077,3075.2775739989925,3095.129952454742,3115.188849685189,3149.3256837357403,3182.8403174491004,3231.934599867361,3228.7374447347634,3235.622089422058,3208.934164411846,3226.8795000607774,3223.407688274812,3251.770174340096,3287.427067421089,3312.1449988480895,3292.3480100489674,3249.753893361046,3212.8253509045235,3208.4712596600184,3233.1555932103643,3251.737664829765,3267.218961282788,3277.278377139691,3303.360987967362,3294.4865205046,3283.491585568589,3287.211738757373,3277.1772171696525,3275.821037355137,3225.8016940009247
94118,2809.1464317903283,2828.777926958403,2873.8719951792723,2896.5146399612076,2897.8644761304686,2947.697392816519,2981.0390181716944,2982.801360343111,2926.887849988198,2881.284515794933,2889.6401471949875,2921.91611062921,2959.663793374466,2957.0994359395536,2918.655192821088,2873.691322191294,2847.751588327411,2875.48879822551,2867.3284245676564,2840.3149641824857,2764.403873550681,2702.204565193326,2618.333633637797,2472.623145015262,2469.24293125055,2537.7093996759495,2666.26093576603,2690.691309367166,2702.1841678104342,2733.547807892279,2774.2336304921287,2817.4277975822893,2856.247682911088,2843.6959577074904,2816.892844780471,2780.197430693173,2806.76932189471,2790.5590822813942,2841.330190674931,2855.612875093162,2906.4988796923503,2921.52453204031,2931.500176353441,2951.0382004210205,2965.987269134429,2965.1046019019777,2937.97017972175,2928.131317653905,2914.7569558895516,2923.991463017197,2916.8648178701933,2923.662674385402,2935.3192781834805,2966.377325215392,2992.9261885666883,2974.552270025099,2981.266338646768,2946.4118690725077,2961.954321666191,2955.626714995594
94121,,,,,,,,,,,,,2924.3130243289465,2981.970177047431,3034.823214554983,3030.937054402439,2969.04977637398,2902.171913962235,2864.158457428554,2834.3396678549348,2784.633820251246,2748.016745259633,2660.472869991266,2622.440770629331,2611.0195807552323,2688.091720094219,2715.949367411835,2729.8339099036507,2720.3023335345197,2719.793084471725,2748.6008196624903,2749.0358030784305,2753.7749182260013,2757.236993848316,2770.701019613199,2766.3423185474394,2722.881323937792,2810.9671875380564,2810.290262870382,2878.223581003841,2822.8346621041783,2884.854777199494,2908.839038592507,2913.2134225367117,2867.0884313817564,2865.2642796347704,2846.36275309294,2898.590405121086,2894.256632649997,2907.492921768016,2925.898728712935,2914.0874706813306,2928.719041668492,2916.402657421502,2947.643089452417,2954.4865842710656,2940.0780147559108,2928.1926756441553,2931.070908194647,2929.5688140417715
94124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308.8419268106654,3268.370564378383,3158.4666506942212,3169.2523894928386,3139.2278829076836,3236.8370104965265,3207.919877656703,3330.9259446721876,3404.2572902111915,3488.0396914052735,3359.964464360156,3221.8946499619797,3185.6201896944076,3205.578773453168,3285.003609169103,3247.7112180019953,3240.6348575478128,3234.906849291671,3250.177320830406,3321.4510421009268
94114,3464.635364872554,3494.1574928529867,3503.517636261677,3508.06653752816,3506.217800835702,3502.3059262731485,3550.9553771308892,3556.915174826174,3536.867160904619,3487.038821791663,3506.178193421984,3495.3921115564954,3501.4153936585153,3488.7834817772955,3513.674660217195,3450.7503108383503,3436.2316220567645,3391.330348133725,3384.944653203429,3285.6877817937484,3249.246539367626,3200.9925683765587,3127.730331971276,3048.3004464535325,3057.785828082337,3080.8598106790014,3139.476608974154,3141.5709605296693,3191.4937472761235,3223.8135636479333,3287.422394145069,3315.085445082216,3322.7147063658845,3310.6584903664343,3327.4931957696544,3319.4726576769503,3350.03232505335,3363.969352874809,3404.143546207514,3409.616320296166,3454.5808115115587,3458.7590928001073,3479.230384630106,3483.4174925226134,3491.899033467717,3480.8995393347977,3475.847339620115,3475.656468506462,3476.8565484010046,3464.4550689642806,3472.6130871366995,3496.195814127738,3539.4683763394596,3542.719334464261,3539.821353833393,3485.455913112187,3484.0667814286776,3489.275561817194,3494.646236072311,3471.8255224107897
